Agent,Service,Amount,Status,Paid At
A100,cashout,1000,FAILED,2026-03-27 10:00:00
A100,airtime,1020,FAILED,2026-03-27 10:01:00
A100,cashout,1040,FAILED,2026-03-27 10:02:00
A100,airtime,1060,FAILED,2026-03-27 10:03:00
A100,cashout,1080,FAILED,2026-03-27 10:04:00
A100,airtime,1000,FAILED,2026-03-27 10:05:00
A100,cashout,1020,FAILED,2026-03-27 10:06:00
A100,airtime,1040,FAILED,2026-03-27 10:07:00
A100,cashout,1060,FAILED,2026-03-27 10:08:00
A100,airtime,1080,FAILED,2026-03-27 10:09:00
A100,cashout,1000,FAILED,2026-03-27 10:10:00
A100,airtime,1020,FAILED,2026-03-27 10:11:00
A100,cashout,1040,FAILED,2026-03-27 10:12:00
A100,airtime,1060,FAILED,2026-03-27 10:13:00
A100,cashout,1080,FAILED,2026-03-27 10:14:00
A100,airtime,1000,FAILED,2026-03-27 10:15:00
A100,cashout,1020,FAILED,2026-03-27 10:16:00
A100,airtime,1040,FAILED,2026-03-27 10:17:00
A100,cashout,1060,FAILED,2026-03-27 10:18:00
A100,airtime,1080,FAILED,2026-03-27 10:19:00
A100,cashout,1000,FAILED,2026-03-27 10:20:00
A100,airtime,1020,FAILED,2026-03-27 10:21:00
A100,cashout,1040,FAILED,2026-03-27 10:22:00
A100,airtime,1060,FAILED,2026-03-27 10:23:00
A100,cashout,1080,FAILED,2026-03-27 10:24:00
A100,airtime,1000,FAILED,2026-03-27 10:25:00
A100,cashout,1020,FAILED,2026-03-27 10:26:00
A100,airtime,1040,FAILED,2026-03-27 10:27:00
A100,cashout,1060,FAILED,2026-03-27 10:28:00
A100,airtime,1080,FAILED,2026-03-27 10:29:00
A100,cashout,1000,FAILED,2026-03-27 10:30:00
A100,airtime,1020,FAILED,2026-03-27 10:31:00
A100,cashout,1040,FAILED,2026-03-27 10:32:00
A100,airtime,1060,FAILED,2026-03-27 10:33:00
A100,cashout,1080,FAILED,2026-03-27 10:34:00
A100,airtime,1000,SUCCESS,2026-03-27 10:35:00
A100,cashout,1020,SUCCESS,2026-03-27 10:36:00
A100,airtime,1040,SUCCESS,2026-03-27 10:37:00
A100,cashout,1060,SUCCESS,2026-03-27 10:38:00
A100,airtime,1080,SUCCESS,2026-03-27 10:39:00
A100,cashout,1000,SUCCESS,2026-03-27 10:40:00
A100,airtime,1020,SUCCESS,2026-03-27 10:41:00
A100,cashout,1040,SUCCESS,2026-03-27 10:42:00
A100,airtime,1060,SUCCESS,2026-03-27 10:43:00
A100,cashout,1080,SUCCESS,2026-03-27 10:44:00
A100,airtime,1000,SUCCESS,2026-03-27 10:45:00
A100,cashout,1020,SUCCESS,2026-03-27 10:46:00
A100,airtime,1040,SUCCESS,2026-03-27 10:47:00
A100,cashout,1060,SUCCESS,2026-03-27 10:48:00
A100,airtime,1080,SUCCESS,2026-03-27 10:49:00
A100,cashout,1000,SUCCESS,2026-03-27 10:50:00
A100,airtime,1020,SUCCESS,2026-03-27 10:51:00
A100,cashout,1040,SUCCESS,2026-03-27 10:52:00
A100,airtime,1060,SUCCESS,2026-03-27 10:53:00
A100,cashout,1080,SUCCESS,2026-03-27 10:54:00
A100,airtime,1000,SUCCESS,2026-03-27 10:55:00
A100,cashout,1020,SUCCESS,2026-03-27 10:56:00
A100,airtime,1040,SUCCESS,2026-03-27 10:57:00
A100,cashout,1060,SUCCESS,2026-03-27 10:58:00
A100,airtime,1080,SUCCESS,2026-03-27 10:59:00
A100,cashout,1000,SUCCESS,2026-03-27 10:00:00
A100,airtime,1020,SUCCESS,2026-03-27 10:01:00
A100,cashout,1040,SUCCESS,2026-03-27 10:02:00
A100,airtime,1060,SUCCESS,2026-03-27 10:03:00
A100,cashout,1080,SUCCESS,2026-03-27 10:04:00
A100,airtime,1000,SUCCESS,2026-03-27 10:05:00
A100,cashout,1020,SUCCESS,2026-03-27 10:06:00
A100,airtime,1040,SUCCESS,2026-03-27 10:07:00
A100,cashout,1060,SUCCESS,2026-03-27 10:08:00
A100,airtime,1080,SUCCESS,2026-03-27 10:09:00
A200,cashout,5000,SUCCESS,2026-03-27 11:00:00
A200,cashin,5020,SUCCESS,2026-03-27 11:02:00
A200,cashout,5000,SUCCESS,2026-03-27 11:05:00
A200,cashin,5020,SUCCESS,2026-03-27 11:07:00
A200,cashout,5000,SUCCESS,2026-03-27 11:10:00
A200,cashin,5020,SUCCESS,2026-03-27 11:12:00
A200,cashout,5000,SUCCESS,2026-03-27 11:15:00
A200,cashin,5020,SUCCESS,2026-03-27 11:17:00
A200,cashout,5000,SUCCESS,2026-03-27 11:20:00
A200,cashin,5020,SUCCESS,2026-03-27 11:22:00
A200,cashout,5000,SUCCESS,2026-03-27 11:25:00
A200,cashin,5020,SUCCESS,2026-03-27 11:27:00
A200,cashout,5000,SUCCESS,2026-03-27 11:30:00
A200,cashin,5020,SUCCESS,2026-03-27 11:32:00
A200,cashout,5000,SUCCESS,2026-03-27 11:35:00
A200,cashin,5020,SUCCESS,2026-03-27 11:37:00
A300,cashin,300,SUCCESS,2026-03-27 12:00:00
A300,cashin,301,SUCCESS,2026-03-27 12:01:00
A300,cashin,302,SUCCESS,2026-03-27 12:02:00
A300,cashin,303,SUCCESS,2026-03-27 12:03:00
A300,cashin,304,SUCCESS,2026-03-27 12:04:00
A300,cashin,305,SUCCESS,2026-03-27 12:05:00
A300,cashin,306,SUCCESS,2026-03-27 12:06:00
A300,cashin,307,SUCCESS,2026-03-27 12:07:00
A300,cashin,308,SUCCESS,2026-03-27 12:08:00
A300,cashin,309,SUCCESS,2026-03-27 12:09:00
A300,cashin,310,SUCCESS,2026-03-27 12:10:00
A300,cashin,311,SUCCESS,2026-03-27 12:11:00
A300,cashin,312,SUCCESS,2026-03-27 12:12:00
A300,cashin,313,SUCCESS,2026-03-27 12:13:00
A300,cashin,314,SUCCESS,2026-03-27 12:14:00
A300,cashin,315,SUCCESS,2026-03-27 12:15:00
A300,cashin,316,SUCCESS,2026-03-27 12:16:00
A300,cashin,317,SUCCESS,2026-03-27 12:17:00
A300,cashin,318,SUCCESS,2026-03-27 12:18:00
A300,cashin,319,SUCCESS,2026-03-27 12:19:00
A300,cashin,320,SUCCESS,2026-03-27 12:20:00
A300,cashin,321,SUCCESS,2026-03-27 12:21:00
A300,cashin,322,SUCCESS,2026-03-27 12:22:00
A300,cashin,323,SUCCESS,2026-03-27 12:23:00
A300,cashin,324,SUCCESS,2026-03-27 12:24:00
A300,cashin,325,SUCCESS,2026-03-27 12:25:00
A300,cashin,326,SUCCESS,2026-03-27 12:26:00
A300,cashin,327,SUCCESS,2026-03-27 12:27:00
A300,cashin,328,SUCCESS,2026-03-27 12:28:00
A300,cashin,329,SUCCESS,2026-03-27 12:29:00
