Agent,Service,Amount,Status,Paid At
N100,cashin,100,SUCCESS,2026-03-01 09:00:00
N100,transfer,110,SUCCESS,2026-03-01 09:03:00
N100,airtime,120,SUCCESS,2026-03-01 09:06:00
N100,cashin,130,SUCCESS,2026-03-01 09:09:00
N100,transfer,140,SUCCESS,2026-03-01 09:12:00
N100,airtime,150,SUCCESS,2026-03-01 09:15:00
N100,cashin,160,SUCCESS,2026-03-01 09:18:00
N100,transfer,170,SUCCESS,2026-03-01 09:21:00
N100,airtime,180,SUCCESS,2026-03-01 09:24:00
N100,cashin,190,SUCCESS,2026-03-01 09:27:00
N100,transfer,200,SUCCESS,2026-03-01 09:30:00
N100,airtime,210,SUCCESS,2026-03-01 09:33:00
N100,cashin,220,SUCCESS,2026-03-01 09:36:00
N100,transfer,230,SUCCESS,2026-03-01 09:39:00
N100,airtime,240,SUCCESS,2026-03-01 09:42:00
N100,cashin,100,SUCCESS,2026-03-01 09:45:00
N100,transfer,110,SUCCESS,2026-03-01 09:48:00
N100,airtime,120,SUCCESS,2026-03-01 09:51:00
N100,cashin,130,SUCCESS,2026-03-01 09:54:00
N100,transfer,140,SUCCESS,2026-03-01 09:57:00
N100,airtime,150,SUCCESS,2026-03-01 10:00:00
N100,cashin,160,SUCCESS,2026-03-01 10:03:00
N100,transfer,170,SUCCESS,2026-03-01 10:06:00
N100,airtime,180,SUCCESS,2026-03-01 10:09:00
N100,cashin,190,SUCCESS,2026-03-01 10:12:00
N100,transfer,200,SUCCESS,2026-03-01 10:15:00
N100,airtime,210,SUCCESS,2026-03-01 10:18:00
N100,cashin,220,SUCCESS,2026-03-01 10:21:00
N100,transfer,230,SUCCESS,2026-03-01 10:24:00
N100,airtime,240,SUCCESS,2026-03-01 10:27:00
N100,cashin,100,SUCCESS,2026-03-01 10:30:00
N100,transfer,110,SUCCESS,2026-03-01 10:33:00
N100,airtime,120,SUCCESS,2026-03-01 10:36:00
N100,cashin,130,SUCCESS,2026-03-01 10:39:00
N100,transfer,140,SUCCESS,2026-03-01 10:42:00
N100,airtime,150,SUCCESS,2026-03-01 10:45:00
N100,cashin,160,SUCCESS,2026-03-01 10:48:00
N100,transfer,170,SUCCESS,2026-03-01 10:51:00
N100,airtime,180,SUCCESS,2026-03-01 10:54:00
N100,cashin,190,SUCCESS,2026-03-01 10:57:00
N200,cashin,100,SUCCESS,2026-03-01 09:00:00
N200,transfer,110,SUCCESS,2026-03-01 09:03:00
N200,airtime,120,SUCCESS,2026-03-01 09:06:00
N200,cashin,130,SUCCESS,2026-03-01 09:09:00
N200,transfer,140,SUCCESS,2026-03-01 09:12:00
N200,airtime,150,SUCCESS,2026-03-01 09:15:00
N200,cashin,160,SUCCESS,2026-03-01 09:18:00
N200,transfer,170,SUCCESS,2026-03-01 09:21:00
N200,airtime,180,SUCCESS,2026-03-01 09:24:00
N200,cashin,190,SUCCESS,2026-03-01 09:27:00
N200,transfer,200,SUCCESS,2026-03-01 09:30:00
N200,airtime,210,SUCCESS,2026-03-01 09:33:00
N200,cashin,220,SUCCESS,2026-03-01 09:36:00
N200,transfer,230,SUCCESS,2026-03-01 09:39:00
N200,airtime,240,SUCCESS,2026-03-01 09:42:00
N200,cashin,100,SUCCESS,2026-03-01 09:45:00
N200,transfer,110,SUCCESS,2026-03-01 09:48:00
N200,airtime,120,SUCCESS,2026-03-01 09:51:00
N200,cashin,130,SUCCESS,2026-03-01 09:54:00
N200,transfer,140,SUCCESS,2026-03-01 09:57:00
N200,airtime,150,SUCCESS,2026-03-01 10:00:00
N200,cashin,160,SUCCESS,2026-03-01 10:03:00
N200,transfer,170,SUCCESS,2026-03-01 10:06:00
N200,airtime,180,SUCCESS,2026-03-01 10:09:00
N200,cashin,190,SUCCESS,2026-03-01 10:12:00
N200,transfer,200,SUCCESS,2026-03-01 10:15:00
N200,airtime,210,SUCCESS,2026-03-01 10:18:00
N200,cashin,220,SUCCESS,2026-03-01 10:21:00
N200,transfer,230,SUCCESS,2026-03-01 10:24:00
N200,airtime,240,SUCCESS,2026-03-01 10:27:00
N200,cashin,100,SUCCESS,2026-03-01 10:30:00
N200,transfer,110,SUCCESS,2026-03-01 10:33:00
N200,airtime,120,SUCCESS,2026-03-01 10:36:00
N200,cashin,130,SUCCESS,2026-03-01 10:39:00
N200,transfer,140,SUCCESS,2026-03-01 10:42:00
N200,airtime,150,SUCCESS,2026-03-01 10:45:00
N200,cashin,160,SUCCESS,2026-03-01 10:48:00
N200,transfer,170,SUCCESS,2026-03-01 10:51:00
N200,airtime,180,SUCCESS,2026-03-01 10:54:00
N200,cashin,190,SUCCESS,2026-03-01 10:57:00
N300,cashin,100,SUCCESS,2026-03-01 09:00:00
N300,transfer,110,SUCCESS,2026-03-01 09:03:00
N300,airtime,120,SUCCESS,2026-03-01 09:06:00
N300,cashin,130,SUCCESS,2026-03-01 09:09:00
N300,transfer,140,SUCCESS,2026-03-01 09:12:00
N300,airtime,150,SUCCESS,2026-03-01 09:15:00
