Agent,Service,Amount,Status,Paid At
MX001,cashin,120,SUCCESS,2026-03-06 00:00:00
MX001,cashout,135,SUCCESS,2026-03-06 00:04:00
MX001,transfer,150,SUCCESS,2026-03-06 00:08:00
MX001,airtime,165,SUCCESS,2026-03-06 00:12:00
MX001,cashin,180,SUCCESS,2026-03-06 00:16:00
MX001,cashout,195,SUCCESS,2026-03-06 00:20:00
MX001,transfer,210,SUCCESS,2026-03-06 00:24:00
MX001,airtime,225,SUCCESS,2026-03-06 00:28:00
MX001,cashin,240,SUCCESS,2026-03-06 00:32:00
MX001,cashout,255,SUCCESS,2026-03-06 00:36:00
MX001,transfer,120,SUCCESS,2026-03-06 00:40:00
MX001,airtime,135,SUCCESS,2026-03-06 00:44:00
MX001,cashin,120,SUCCESS,2026-03-06 01:00:00
MX001,cashout,135,SUCCESS,2026-03-06 01:04:00
MX001,transfer,150,SUCCESS,2026-03-06 01:08:00
MX001,airtime,165,SUCCESS,2026-03-06 01:12:00
MX001,cashin,180,SUCCESS,2026-03-06 01:16:00
MX001,cashout,195,SUCCESS,2026-03-06 01:20:00
MX001,transfer,210,SUCCESS,2026-03-06 01:24:00
MX001,airtime,225,SUCCESS,2026-03-06 01:28:00
MX001,cashin,240,SUCCESS,2026-03-06 01:32:00
MX001,cashout,255,SUCCESS,2026-03-06 01:36:00
MX001,transfer,120,SUCCESS,2026-03-06 01:40:00
MX001,airtime,135,SUCCESS,2026-03-06 01:44:00
MX001,cashin,120,SUCCESS,2026-03-06 02:00:00
MX001,cashout,135,SUCCESS,2026-03-06 02:04:00
MX001,transfer,150,SUCCESS,2026-03-06 02:08:00
MX001,airtime,165,SUCCESS,2026-03-06 02:12:00
MX001,cashin,180,SUCCESS,2026-03-06 02:16:00
MX001,cashout,195,SUCCESS,2026-03-06 02:20:00
MX001,transfer,210,SUCCESS,2026-03-06 02:24:00
MX001,airtime,225,SUCCESS,2026-03-06 02:28:00
MX001,cashin,240,SUCCESS,2026-03-06 02:32:00
MX001,cashout,255,SUCCESS,2026-03-06 02:36:00
MX001,transfer,120,SUCCESS,2026-03-06 02:40:00
MX001,airtime,135,SUCCESS,2026-03-06 02:44:00
MX001,cashin,120,SUCCESS,2026-03-06 03:00:00
MX001,cashout,135,SUCCESS,2026-03-06 03:04:00
MX001,transfer,150,SUCCESS,2026-03-06 03:08:00
MX001,airtime,165,SUCCESS,2026-03-06 03:12:00
MX001,cashin,180,SUCCESS,2026-03-06 03:16:00
MX001,cashout,195,SUCCESS,2026-03-06 03:20:00
MX001,transfer,210,SUCCESS,2026-03-06 03:24:00
MX001,airtime,225,SUCCESS,2026-03-06 03:28:00
MX001,cashin,240,SUCCESS,2026-03-06 03:32:00
MX001,cashout,255,SUCCESS,2026-03-06 03:36:00
MX001,transfer,120,SUCCESS,2026-03-06 03:40:00
MX001,airtime,135,SUCCESS,2026-03-06 03:44:00
MX001,cashin,120,SUCCESS,2026-03-06 04:00:00
MX001,cashout,135,SUCCESS,2026-03-06 04:04:00
MX001,transfer,150,SUCCESS,2026-03-06 04:08:00
MX001,airtime,165,SUCCESS,2026-03-06 04:12:00
MX001,cashin,180,SUCCESS,2026-03-06 04:16:00
MX001,cashout,195,SUCCESS,2026-03-06 04:20:00
MX001,transfer,210,SUCCESS,2026-03-06 04:24:00
MX001,airtime,225,SUCCESS,2026-03-06 04:28:00
MX001,cashin,240,SUCCESS,2026-03-06 04:32:00
MX001,cashout,255,SUCCESS,2026-03-06 04:36:00
MX001,transfer,120,SUCCESS,2026-03-06 04:40:00
MX001,airtime,135,SUCCESS,2026-03-06 04:44:00
MX001,cashin,120,SUCCESS,2026-03-06 05:00:00
MX001,cashout,135,SUCCESS,2026-03-06 05:04:00
MX001,transfer,150,SUCCESS,2026-03-06 05:08:00
MX001,airtime,165,SUCCESS,2026-03-06 05:12:00
